epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25.3056,0.96245,1.03278,1.0875,1,0.24419,0.9489,0.8259,0.65757,2.32267,0.8649,0.000477829,0.000477829,0.000477829
43,25.7862,0.9231,1.00382,1.09557,1,0.28604,0.94071,0.82024,0.62545,2.30029,0.85699,0.000488617,0.000488617,0.000488617
44,26.2521,0.86732,1.09451,1.06254,1,0.30178,0.92568,0.77521,0.63955,2.27431,0.8622,0.000499364,0.000499364,0.000499364
45,26.723,0.80153,0.93297,0.97325,1,0.45531,0.93494,0.77171,0.66843,2.21835,0.86733,0.00051007,0.00051007,0.00051007
46,27.2107,0.86231,0.97019,0.95985,1,0.5412,0.94318,0.75775,0.69543,2.17921,0.87579,0.000520734,0.000520734,0.000520734
47,27.6932,0.83596,1.01546,1.03416,0.9658,0.36306,0.94885,0.74748,0.78293,2.19127,0.90505,0.000531358,0.000531358,0.000531358
48,28.152,0.80422,0.91896,1.08136,0.92064,0.359,0.941,0.71088,0.83069,2.18768,0.91853,0.000541939,0.000541939,0.000541939
49,28.6252,0.99981,1.15433,1.18486,0.88699,0.3616,0.92673,0.70573,0.83394,2.22408,0.9196,0.00055248,0.00055248,0.00055248
50,29.1028,0.94756,1.18927,1.12748,0.89515,0.40243,0.92026,0.71474,0.84575,2.22012,0.91847,0.000562979,0.000562979,0.000562979
51,29.5359,0.77436,0.95728,0.9766,0.89515,0.40243,0.92026,0.71474,0.84575,2.22012,0.91847,0.000573438,0.000573438,0.000573438
52,30.0023,0.79573,0.99394,1.0032,0.95849,0.44524,0.91042,0.69939,0.84148,2.2321,0.92362,0.000583854,0.000583854,0.000583854
53,30.4243,0.80641,0.93606,0.98998,0.95849,0.44524,0.91042,0.69939,0.84148,2.2321,0.92362,0.00059423,0.00059423,0.00059423
54,30.8694,0.8246,0.89239,0.96155,0.96015,0.46097,0.88635,0.68149,0.86,2.23248,0.97609,0.000604564,0.000604564,0.000604564
