epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,561.4,1.36046,0.97556,1.34822,0.82248,0.81749,0.87794,0.52232,1.38782,0.85091,1.3445,0.0018647,0.0018647,0.0018647
43,574.477,1.3302,0.92861,1.32711,0.86094,0.85335,0.91786,0.57244,1.31196,0.78005,1.28255,0.0018614,0.0018614,0.0018614
44,587.514,1.32482,0.92099,1.32532,0.84528,0.77947,0.8747,0.49337,1.49118,0.87211,1.40097,0.0018581,0.0018581,0.0018581
45,600.829,1.32992,0.91499,1.3296,0.88473,0.87262,0.93984,0.59674,1.26006,0.71349,1.26941,0.0018548,0.0018548,0.0018548
46,613.872,1.34707,0.91613,1.33766,0.86244,0.88878,0.94618,0.61423,1.22093,0.70638,1.23725,0.0018515,0.0018515,0.0018515
47,626.998,1.33025,0.91763,1.32602,0.91744,0.86217,0.94813,0.61608,1.23471,0.68014,1.23095,0.0018482,0.0018482,0.0018482
48,640.777,1.32605,0.90053,1.32518,0.9038,0.88417,0.94572,0.59199,1.33951,0.70258,1.30298,0.0018449,0.0018449,0.0018449
49,656.217,1.29768,0.88237,1.29927,0.86939,0.87928,0.94319,0.59425,1.28974,0.7029,1.26815,0.0018416,0.0018416,0.0018416
50,671.824,1.30071,0.87987,1.31701,0.87648,0.81179,0.91238,0.55291,1.36371,0.809,1.31986,0.0018383,0.0018383,0.0018383
51,687.451,1.27634,0.85614,1.28014,0.90829,0.91315,0.96559,0.64415,1.17001,0.6465,1.2012,0.001835,0.001835,0.001835
52,703.179,1.28436,0.8832,1.30773,0.92154,0.882,0.95194,0.62265,1.21588,0.67795,1.22795,0.0018317,0.0018317,0.0018317
53,718.644,1.30055,0.84053,1.30988,0.90524,0.82635,0.92605,0.60645,1.24912,0.74365,1.25783,0.0018284,0.0018284,0.0018284
54,732.597,1.28147,0.84871,1.30636,0.90884,0.91065,0.95909,0.63023,1.20087,0.62716,1.21975,0.0018251,0.0018251,0.0018251
55,746.507,1.27192,0.82859,1.29842,0.91882,0.86066,0.94723,0.61687,1.2596,0.67308,1.25677,0.0018218,0.0018218,0.0018218
56,759.761,1.27953,0.85046,1.29098,0.89891,0.89595,0.95964,0.63671,1.18068,0.63546,1.20165,0.0018185,0.0018185,0.0018185
57,772.758,1.25165,0.81698,1.27305,0.90642,0.94202,0.97561,0.65683,1.14687,0.58758,1.18458,0.0018152,0.0018152,0.0018152
58,785.697,1.25426,0.82364,1.28295,0.89026,0.90994,0.95866,0.63388,1.19699,0.66472,1.2103,0.0018119,0.0018119,0.0018119
59,798.856,1.2421,0.82306,1.26351,0.92496,0.91397,0.97035,0.66252,1.13904,0.61483,1.18079,0.0018086,0.0018086,0.0018086
60,811.768,1.23483,0.79406,1.26464,0.93064,0.9173,0.96867,0.65731,1.13879,0.60247,1.17746,0.0018053,0.0018053,0.0018053
61,824.692,1.2377,0.79767,1.26253,0.88411,0.86502,0.94244,0.61382,1.16995,0.66935,1.2036,0.001802,0.001802,0.001802
62,837.692,1.21806,0.79975,1.26103,0.93269,0.90494,0.97141,0.67773,1.10164,0.58587,1.15669,0.0017987,0.0017987,0.0017987
63,850.482,1.24461,0.80665,1.26675,0.92292,0.90494,0.96033,0.65114,1.13527,0.64714,1.18444,0.0017954,0.0017954,0.0017954
64,863.393,1.21634,0.79904,1.26196,0.92612,0.93346,0.97546,0.68632,1.08761,0.54587,1.14281,0.0017921,0.0017921,0.0017921
65,876.342,1.22253,0.79265,1.25209,0.93144,0.92988,0.97779,0.68145,1.09805,0.54987,1.14428,0.0017888,0.0017888,0.0017888
66,889.215,1.2057,0.77848,1.24815,0.92635,0.92065,0.97267,0.6622,1.11835,0.57239,1.16005,0.0017855,0.0017855,0.0017855
67,902.377,1.18795,0.77573,1.24417,0.94012,0.95512,0.98174,0.69848,1.04908,0.50792,1.12009,0.0017822,0.0017822,0.0017822
68,916.055,1.19903,0.76707,1.24039,0.91629,0.9468,0.97706,0.67262,1.10512,0.5659,1.15318,0.0017789,0.0017789,0.0017789
69,929.807,1.172,0.76699,1.22098,0.96115,0.91445,0.98185,0.69695,1.08608,0.53458,1.13781,0.0017756,0.0017756,0.0017756
70,943.702,1.1764,0.75342,1.22355,0.96264,0.93726,0.98295,0.70336,1.05623,0.5218,1.12647,0.0017723,0.0017723,0.0017723
71,957.915,1.1826,0.74495,1.23471,0.95433,0.94867,0.98575,0.68598,1.05783,0.50623,1.12247,0.001769,0.001769,0.001769
72,972.031,1.17831,0.76486,1.23735,0.9502,0.96124,0.98523,0.70269,1.02657,0.49691,1.10666,0.0017657,0.0017657,0.0017657
73,986.253,1.17169,0.74575,1.22228,0.90657,0.94084,0.97118,0.6943,1.00563,0.56517,1.10104,0.0017624,0.0017624,0.0017624
74,1000.28,1.16836,0.74392,1.22071,0.9516,0.95247,0.98633,0.70534,1.04201,0.50673,1.11313,0.0017591,0.0017591,0.0017591
75,1014.07,1.15665,0.74584,1.21515,0.95032,0.94677,0.98257,0.69063,1.04479,0.52421,1.12493,0.0017558,0.0017558,0.0017558
76,1028.42,1.16458,0.74307,1.22,0.93801,0.94867,0.98005,0.68363,1.05871,0.52548,1.12745,0.0017525,0.0017525,0.0017525
77,1042.95,1.13912,0.71803,1.20286,0.96905,0.95229,0.98847,0.72254,0.98158,0.48135,1.08708,0.0017492,0.0017492,0.0017492
78,1057.39,1.13954,0.71556,1.20463,0.93942,0.94867,0.98118,0.7006,1.02345,0.52528,1.10953,0.0017459,0.0017459,0.0017459
79,1071.86,1.12679,0.71398,1.19947,0.95467,0.95342,0.98703,0.72405,0.99121,0.47877,1.08738,0.0017426,0.0017426,0.0017426
80,1085.88,1.12711,0.71029,1.19876,0.9429,0.96863,0.98639,0.71814,1.01372,0.474,1.09076,0.0017393,0.0017393,0.0017393
81,1100.24,1.13502,0.71431,1.19632,0.94335,0.95627,0.98439,0.7216,0.99175,0.50046,1.08488,0.001736,0.001736,0.001736
82,1114.62,1.11447,0.70062,1.19468,0.9566,0.95817,0.9868,0.73959,0.96491,0.46914,1.07152,0.0017327,0.0017327,0.0017327
83,1128.56,1.13417,0.70821,1.20606,0.96709,0.97243,0.99059,0.72461,0.99889,0.46685,1.08647,0.0017294,0.0017294,0.0017294
84,1142.88,1.13856,0.71765,1.19736,0.94398,0.94509,0.98094,0.71043,1.02694,0.51565,1.10932,0.0017261,0.0017261,0.0017261
85,1156.92,1.12497,0.7017,1.2063,0.96653,0.96077,0.98891,0.72488,0.9753,0.45925,1.07935,0.0017228,0.0017228,0.0017228
86,1171.3,1.10645,0.68627,1.19569,0.93883,0.96295,0.98518,0.72491,0.98884,0.47775,1.08881,0.0017195,0.0017195,0.0017195
87,1185.8,1.09997,0.68634,1.18145,0.96521,0.97148,0.98882,0.74243,0.95267,0.45038,1.06359,0.0017162,0.0017162,0.0017162
88,1199.53,1.09899,0.69368,1.1851,0.9503,0.95057,0.98352,0.7189,0.98035,0.47996,1.08514,0.0017129,0.0017129,0.0017129
89,1213.55,1.09312,0.67923,1.16944,0.95314,0.95913,0.98473,0.71878,0.98929,0.47195,1.09172,0.0017096,0.0017096,0.0017096
90,1227.7,1.10061,0.6915,1.17517,0.96198,0.93726,0.98448,0.71598,1.01112,0.49107,1.09892,0.0017063,0.0017063,0.0017063
91,1242.33,1.10625,0.67064,1.17926,0.95427,0.97203,0.98988,0.73318,0.9629,0.45639,1.07295,0.001703,0.001703,0.001703
92,1256.64,1.08623,0.67276,1.17129,0.94964,0.96791,0.98784,0.73971,0.95199,0.45639,1.06568,0.0016997,0.0016997,0.0016997
93,1272.02,1.07239,0.68039,1.1678,0.94723,0.96293,0.98821,0.73676,0.94577,0.46014,1.07314,0.0016964,0.0016964,0.0016964
94,1286.34,1.08425,0.67963,1.1762,0.95209,0.96349,0.98615,0.72494,0.9801,0.48221,1.08251,0.0016931,0.0016931,0.0016931
95,1300.63,1.0679,0.66291,1.16905,0.96521,0.97433,0.99103,0.75916,0.89696,0.43414,1.03379,0.0016898,0.0016898,0.0016898
96,1314.67,1.08176,0.66494,1.17777,0.96689,0.95532,0.98793,0.75139,0.92488,0.4342,1.0464,0.0016865,0.0016865,0.0016865
97,1328.83,1.06662,0.65328,1.16046,0.95145,0.95437,0.98396,0.74245,0.9332,0.45001,1.05373,0.0016832,0.0016832,0.0016832
