epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2583,1.04036,0.89532,0.98053,0.96521,0.625,0.67733,0.54552,1.06634,1.01782,1.1789,0,0,0
2,14.1432,1.07453,0.83559,1.02861,0.96578,0.625,0.6803,0.54775,1.05906,1.02026,1.17632,1.9967e-05,1.9967e-05,1.9967e-05
3,15.1302,0.95658,0.96126,1.06536,0.96845,0.625,0.68238,0.54979,1.05374,1.02454,1.1723,3.9868e-05,3.9868e-05,3.9868e-05
4,15.9032,0.98392,0.96838,1.0669,0.97125,0.625,0.68329,0.55069,1.05144,1.02198,1.16968,5.9703e-05,5.9703e-05,5.9703e-05
5,16.5409,1.17831,1.09177,1.14465,0.9727,0.625,0.68578,0.55314,1.05311,1.03141,1.17109,7.9472e-05,7.9472e-05,7.9472e-05
6,17.2649,0.73749,0.61639,0.94002,0.97846,0.625,0.69683,0.5797,1.03688,1.04506,1.16431,9.9175e-05,9.9175e-05,9.9175e-05
7,17.9208,0.79578,0.77088,1.01247,0.98341,0.625,0.66697,0.57392,0.97635,1.00621,1.13845,0.000118812,0.000118812,0.000118812
8,18.5677,0.95498,1.04726,1.07206,0.98877,0.625,0.67476,0.56843,0.92937,0.96963,1.12122,0.000138383,0.000138383,0.000138383
9,19.2082,0.76349,0.85817,1.01099,0.99021,0.625,0.68279,0.58576,0.91927,0.93039,1.12357,0.000157888,0.000157888,0.000157888
10,19.8681,0.8493,0.76405,1.08139,0.9903,0.625,0.70601,0.57001,0.91178,0.86379,1.12072,0.000177327,0.000177327,0.000177327
11,20.5255,0.90792,0.86294,1.02291,0.991,0.625,0.70708,0.56985,0.91107,0.85994,1.11941,0.0001967,0.0001967,0.0001967
12,21.6013,0.95992,1.11696,1.07465,0.94097,0.66431,0.71802,0.56822,0.91544,0.8036,1.12145,0.000216007,0.000216007,0.000216007
13,22.1961,0.76253,0.75305,0.9602,0.93145,0.66667,0.72379,0.57342,0.91068,0.76505,1.12192,0.000235248,0.000235248,0.000235248
14,22.8587,0.82019,0.74031,0.9852,0.94353,0.6967,0.75216,0.5757,0.90964,0.75614,1.11647,0.000254423,0.000254423,0.000254423
15,23.5126,0.93426,0.77596,1.02386,1,0.69756,0.74206,0.57642,0.86006,0.77067,1.08185,0.000273532,0.000273532,0.000273532
16,24.1479,0.77181,0.56565,0.97045,0.98693,0.66667,0.74065,0.59263,0.80832,0.80456,1.06592,0.000292575,0.000292575,0.000292575
17,24.8462,0.7506,0.69046,0.95626,0.98971,0.66667,0.76577,0.6027,0.80303,0.83969,1.06902,0.000311552,0.000311552,0.000311552
18,25.5192,0.98234,0.77884,1.01434,1,0.66395,0.77624,0.6106,0.79635,0.91412,1.06504,0.000330463,0.000330463,0.000330463
19,26.1835,0.91015,0.95428,0.99037,0.913,0.66667,0.81385,0.61585,0.79055,0.9924,1.06532,0.000349308,0.000349308,0.000349308
20,26.8308,0.84069,0.68718,0.97334,0.85659,0.7468,0.83092,0.63211,0.80859,1.04188,1.06213,0.000368087,0.000368087,0.000368087
