epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5565,1.88552,3.62412,1.50092,0.00308,0.92308,0.13195,0.06562,1.46403,3.80842,1.37815,0,0,0
2,13.0196,2.2744,3.92053,1.72591,0.00308,0.92308,0.118,0.05464,1.46223,3.80539,1.37474,1.99802e-05,1.99802e-05,1.99802e-05
3,13.6554,2.06427,4.12082,1.61323,0.00308,0.92308,0.12533,0.05542,1.46389,3.80188,1.38203,3.99208e-05,3.99208e-05,3.99208e-05
4,14.2122,2.21006,3.73858,1.61576,0.00308,0.92308,0.12874,0.05498,1.45774,3.80313,1.37706,5.98218e-05,5.98218e-05,5.98218e-05
5,14.7091,1.77719,3.82876,1.36417,0.00308,0.92308,0.12869,0.05494,1.45216,3.81573,1.3761,7.96832e-05,7.96832e-05,7.96832e-05
6,15.2666,2.29452,3.90204,1.74922,0.00308,0.92308,0.13982,0.06367,1.45291,3.83047,1.38284,9.9505e-05,9.9505e-05,9.9505e-05
7,15.9029,2.12275,4.21725,1.68247,0.00333,1,0.30271,0.1971,1.2657,3.65964,1.30788,0.000119287,0.000119287,0.000119287
8,16.6504,1.85619,3.4663,1.46901,0.00333,1,0.54851,0.37922,1.16536,3.54,1.24869,0.00013903,0.00013903,0.00013903
9,17.7043,1.6475,3.29582,1.35714,0.00333,1,0.64395,0.35044,1.26572,3.63842,1.32453,0.000158733,0.000158733,0.000158733
10,18.2555,1.5155,3.38051,1.31843,0.00333,1,0.64788,0.36781,1.14639,3.59913,1.2538,0.000178396,0.000178396,0.000178396
11,18.8352,1.61358,2.83915,1.28046,0.00333,1,0.7628,0.41792,1.13622,3.43024,1.19746,0.00019802,0.00019802,0.00019802
12,19.4243,1.45478,2.47347,1.24811,0.00333,1,0.78173,0.40703,1.1596,3.39761,1.1917,0.000217604,0.000217604,0.000217604
13,19.9551,1.40291,2.38701,1.17434,0.00333,1,0.87468,0.46224,1.05255,3.40226,1.17002,0.000237149,0.000237149,0.000237149
14,20.5489,1.4355,2.42045,1.22196,0.00333,1,0.82658,0.49011,1.05653,3.42571,1.18661,0.000256654,0.000256654,0.000256654
15,21.1339,1.25692,2.08904,1.1326,0.00333,1,0.76506,0.49594,1.11631,3.41744,1.16634,0.000276119,0.000276119,0.000276119
16,21.6946,1.4376,2.36115,1.36832,0.00333,1,0.6983,0.42341,1.03584,3.46388,1.16661,0.000295545,0.000295545,0.000295545
17,22.2939,1.36355,2.25072,1.23006,0.00333,1,0.65059,0.33485,1.12166,3.52698,1.22654,0.000314931,0.000314931,0.000314931
18,22.8555,1.43119,2.09981,1.32054,0.00333,1,0.50794,0.30565,1.11594,3.56824,1.24531,0.000334278,0.000334278,0.000334278
19,23.4756,1.57188,2.46859,1.32533,0.00333,1,0.5168,0.31913,1.15495,3.55051,1.26159,0.000353585,0.000353585,0.000353585
20,24.0765,1.34949,2.34866,1.2211,0.00333,1,0.45993,0.26807,1.18665,3.54508,1.27381,0.000372852,0.000372852,0.000372852
21,24.7062,1.49547,1.97719,1.25322,0.00333,1,0.51043,0.30911,1.19837,3.48397,1.24345,0.00039208,0.00039208,0.00039208
22,25.4306,1.22491,1.9524,1.19456,0.00333,1,0.54643,0.32798,1.19003,3.47354,1.21587,0.000411268,0.000411268,0.000411268
23,25.9976,1.35999,2.0689,1.24437,0.00333,1,0.57572,0.30157,1.24253,3.54895,1.21262,0.000430417,0.000430417,0.000430417
24,26.5703,1.29192,1.89823,1.1669,0.00333,1,0.54587,0.29969,1.2589,3.60045,1.28169,0.000449526,0.000449526,0.000449526
25,27.2265,1.42003,2.22139,1.2199,0.00333,1,0.34175,0.17218,1.29073,3.76731,1.37883,0.000468595,0.000468595,0.000468595
26,27.8188,1.16715,2.14326,1.18926,0.00333,1,0.35181,0.1668,1.49359,3.98118,1.47086,0.000487625,0.000487625,0.000487625
27,28.4419,1.55157,2.32169,1.30766,0.00333,1,0.30925,0.15678,1.6619,4.07162,1.51645,0.000506615,0.000506615,0.000506615
28,29.0397,1.4499,2.08587,1.34822,0.00282,0.84615,0.24467,0.125,1.58688,4.04672,1.49318,0.000525566,0.000525566,0.000525566
29,29.6453,1.25551,1.85959,1.19309,0.00282,0.84615,0.14749,0.08005,1.59532,4.29014,1.52448,0.000544477,0.000544477,0.000544477
30,30.2411,1.29619,1.71773,1.15527,0.00282,0.84615,0.0339,0.02654,1.77766,4.45418,1.60661,0.000563348,0.000563348,0.000563348
